GPU,Release Date
Geforce GTX 960,2015-01-22
Geforce GTX 970,2014-09-19
Geforce GTX 980,2014-09-19
Geforce GTX 1060,2016-07-19
Geforce GTX 1070,2016-06-10
Geforce GTX 1080,2016-05-27
Geforce GTX titan,2013-02-19
Geforce RTX 2060,2019-01-07
Geforce RTX 2070,2018-10-17
Geforce RTX 2080,2018-09-20
Geforce RTX titan,2018-12-18
Geforce RTX 3060,2021-02-25
Geforce RTX 3070,2020-10-29
Geforce RTX 3080,2020-09-17
Geforce RTX 3080,2020-09-24
Geforce RTX 4060,2023-06-29
Geforce RTX 4070,2023-04-13
Geforce RTX 4080,2022-11-16
Geforce RTX 4080,2022-10-12
Radeon R9 290,2013-11-05
Radeon R9 290X,2013-10-24
Radeon RX 470,2016-08-04
Radeon RX 480,2016-06-29
Radeon RX 570,2017-04-18
Radeon RX 580,2017-04-18
Radeon RX 6700 XT,2021-03-18
Radeon RX 6800 XT,2020-11-18
Radeon RX 6900 XT,2020-12-08
Radeon 5600 XT,2020-01-21
Radeon RX 6600 XT,2021-08-11
Radeon RX 6600,2021-10-13
Radeon RX 6700,2021-06-09
Radeon RX 7900 XT,2022-12-13
Radeon RX 7800 XT,2023-09-06
Radeon RX 7700 XT,2023-09-06
Radeon RX 6950 XT,2022-05-10
Radeon RX 6750 XT,2022-05-10
Radeon RX 6650 XT,2022-05-10
Radeon RX 6500 XT,2022-01-19
Radeon RX 5500 XT,2019-12-12
Radeon RX 5700 XT,2019-07-07